県,単収(g/m2),年平均気温(C°),降水量(mm),日照時間(時)
北海道,526,8.2,1130,1805
青森,575,9.7,1360,1695
岩手,528,9.8,1265,1815
宮城,536,11.9,1205,1843
秋田,574,11.1,1746,1642
山形,601,11.2,1126,1667
福島,551,12.6,1066,1818
茨木,510,13.2,1308,1830
栃木,539,13,1383,1942
群馬,476,13.9,1130,1980
埼玉,488,14.2,1168,1998
千葉,524,15,1558,1911
東京,400,15.6,1405,1811
神奈川,471,15.2,1569,1880
新潟,557,13.2,1778,1687
富山,545,13.5,2296,1608
石川,519,14.1,2593,1605
福井,523,14.1,2368,1601
山梨,548,13.9,1055,2075
長野,633,11.5,938,1852
岐阜,495,15.1,1934,2067
静岡,525,16.1,2327,2013
愛知,510,15.1,1534,2015
三重,498,15.1,1655,1986
滋賀,517,14.1,1654,1825
京都,518,15.3,1581,1708
大阪,486,16.3,1318,1944
兵庫,514,15.6,1316,1918
奈良,505,14.4,1355,1849
和歌山,488,16.1,1353,2031
鳥取,540,14.5,1950,1666
島根,517,14.3,1895,1782
岡山,532,15.8,1160,2083
広島,531,15,1555,2020
山口,521,15.8,1660,1868
徳島,471,15.9,1615,1994
香川,502,15.3,1147,2446
愛媛,501,15.8,1286,1980
高知,159,16.4,2582,2107
福岡,515,16.2,1604,1811
佐賀,544,16.1,1836,1869
長崎,485,16.7,1945,1851
熊本,522,16.2,1968,1953
大分,512,15.7,1638,1914
宮崎,487,17,2435,2103
鹿児島,486,17.6,2237,1875
沖縄,265,22.4,2037,1876
